,stock,tradeDate,rets,factor
2577,000800.XSHE,2011-06-30,0,0.3931790457295448
2578,000858.XSHE,2011-06-30,1,0.5167654314925609
2580,000895.XSHE,2011-06-30,1,0.4144840605552502
2582,000963.XSHE,2011-06-30,1,0.2667573537577263
2584,002001.XSHE,2011-06-30,0,0.5507510160201143
2585,002007.XSHE,2011-06-30,0,0.2333691011574033
2586,002008.XSHE,2011-06-30,0,0.48885944009057813
2587,002024.XSHE,2011-06-30,0,0.4998319376607089
2589,002032.XSHE,2011-06-30,0,0.5324106384868997
2590,002044.XSHE,2011-06-30,1,0.5071027264378014
2591,002049.XSHE,2011-06-30,0,0.45136446558538273
2592,002050.XSHE,2011-06-30,1,0.4605306036694963
2593,002064.XSHE,2011-06-30,0,0.5198095308354937
2595,002129.XSHE,2011-06-30,1,0.477527796568583
2597,002157.XSHE,2011-06-30,0,0.4901437847273256
2598,002179.XSHE,2011-06-30,1,0.4941914378457109
2599,002202.XSHE,2011-06-30,0,0.4183627367718347
2600,002230.XSHE,2011-06-30,0,0.5332011428736947
2601,002236.XSHE,2011-06-30,1,0.43952266723118855
2602,002241.XSHE,2011-06-30,1,0.45225719577510476
2603,002252.XSHE,2011-06-30,1,0.40442629826997134
2604,002271.XSHE,2011-06-30,0,0.46076160335907734
2605,002304.XSHE,2011-06-30,1,0.46947285705732733
2606,002311.XSHE,2011-06-30,1,0.4266216330344762
2608,002371.XSHE,2011-06-30,1,0.39765934366534944
2609,002410.XSHE,2011-06-30,1,0.5073574945513504
2610,002414.XSHE,2011-06-30,1,0.4211630862693252
2611,002415.XSHE,2011-06-30,1,0.5762791857147918
2613,002460.XSHE,2011-06-30,1,0.301636446813759
2615,002475.XSHE,2011-06-30,1,0.39563132185846633
2616,002493.XSHE,2011-06-30,0,0.3622067535033484
2617,002555.XSHE,2011-06-30,1,0.4171819178189139
2623,300003.XSHE,2011-06-30,0,0.39987913336330444
2625,300015.XSHE,2011-06-30,1,0.3896546821984419
2628,300122.XSHE,2011-06-30,1,0.31910771738345034
2629,300124.XSHE,2011-06-30,1,0.35891465165143777
2630,300142.XSHE,2011-06-30,1,0.2714553088870957
2631,300144.XSHE,2011-06-30,1,0.34880394733329523
2634,600010.XSHG,2011-06-30,0,0.41760568261634373
2635,600011.XSHG,2011-06-30,0,0.3879393356481905
2638,600018.XSHG,2011-06-30,1,0.5160030923656534
2639,600019.XSHG,2011-06-30,0,0.4654665618979062
2640,600028.XSHG,2011-06-30,0,0.38664551711914447
2641,600029.XSHG,2011-06-30,1,0.3957729218033327
2643,600031.XSHG,2011-06-30,0,0.5242076289188787
2645,600048.XSHG,2011-06-30,0,0.5082289658487479
2646,600050.XSHG,2011-06-30,0,0.5066604066467102
2648,600079.XSHG,2011-06-30,1,0.43821800840548386
2649,600085.XSHG,2011-06-30,1,0.4584990870469637
2650,600104.XSHG,2011-06-30,0,0.470667197194405
2652,600111.XSHG,2011-06-30,0,0.45977894415914866
2653,600115.XSHG,2011-06-30,1,0.41631129086811514
2654,600132.XSHG,2011-06-30,1,0.43655726482055274
2655,600143.XSHG,2011-06-30,1,0.522367521061192
2656,600150.XSHG,2011-06-30,0,0.5251671553239978
2657,600161.XSHG,2011-06-30,1,0.30359626019561214
2658,600176.XSHG,2011-06-30,1,0.5638154892958427
2659,600183.XSHG,2011-06-30,0,0.4691868337268923
2660,600196.XSHG,2011-06-30,0,0.4552145940176051
2661,600276.XSHG,2011-06-30,1,0.45814900161974337
2662,600309.XSHG,2011-06-30,0,0.4950428792378564
2663,600332.XSHG,2011-06-30,1,0.38369400779967067
2665,600352.XSHG,2011-06-30,0,0.3638757685545515
2666,600362.XSHG,2011-06-30,1,0.3712154604908588
2667,600383.XSHG,2011-06-30,0,0.47736439489871624
2668,600406.XSHG,2011-06-30,1,0.5145555626379463
2669,600426.XSHG,2011-06-30,0,0.4673679011047078
2670,600436.XSHG,2011-06-30,1,0.4846449544171241
2671,600438.XSHG,2011-06-30,0,0.4955031070567986
2672,600489.XSHG,2011-06-30,1,0.48651753063287706
2673,600519.XSHG,2011-06-30,1,0.5018721893929888
2675,600570.XSHG,2011-06-30,0,0.550197613254008
2676,600584.XSHG,2011-06-30,0,0.4067824201807846
2677,600585.XSHG,2011-06-30,0,0.5060260782608907
2678,600588.XSHG,2011-06-30,1,0.38625094887760064
2679,600600.XSHG,2011-06-30,1,0.4573502479715143
2680,600606.XSHG,2011-06-30,0,0.4582875744656225
