,stock,tradeDate,rets,factor
2630,300142.XSHE,2011-06-30,1,0.3646418702938678
2631,300144.XSHE,2011-06-30,1,0.38741372029233495
2634,600010.XSHG,2011-06-30,0,0.432557296888856
2635,600011.XSHG,2011-06-30,0,0.39400381616904945
2638,600018.XSHG,2011-06-30,1,0.4577050924437189
2639,600019.XSHG,2011-06-30,0,0.46129306921604923
2640,600028.XSHG,2011-06-30,0,0.4287945010010927
2641,600029.XSHG,2011-06-30,1,0.4327334002739947
2643,600031.XSHG,2011-06-30,0,0.4888754034051718
2645,600048.XSHG,2011-06-30,0,0.5111453434868792
2646,600050.XSHG,2011-06-30,0,0.4622634616192008
2648,600079.XSHG,2011-06-30,1,0.41479569766331387
2649,600085.XSHG,2011-06-30,1,0.45441349419995525
2650,600104.XSHG,2011-06-30,0,0.465811625012372
2652,600111.XSHG,2011-06-30,0,0.4000921450237464
2653,600115.XSHG,2011-06-30,1,0.42530041121063306
2654,600132.XSHG,2011-06-30,1,0.45647062382115194
2655,600143.XSHG,2011-06-30,1,0.5112341678616438
2656,600150.XSHG,2011-06-30,0,0.5392784838770109
2657,600161.XSHG,2011-06-30,1,0.3724418645447256
2658,600176.XSHG,2011-06-30,1,0.5050214681275509
2659,600183.XSHG,2011-06-30,0,0.4568408803473086
2660,600196.XSHG,2011-06-30,0,0.3997695366442027
2661,600276.XSHG,2011-06-30,1,0.42930563876095384
2662,600309.XSHG,2011-06-30,0,0.48048562862378774
2663,600332.XSHG,2011-06-30,1,0.36034332725678214
2665,600352.XSHG,2011-06-30,0,0.4112620307962191
2666,600362.XSHG,2011-06-30,1,0.4083381116451756
2667,600383.XSHG,2011-06-30,0,0.47476267188531535
2668,600406.XSHG,2011-06-30,1,0.5164169762336992
2669,600426.XSHG,2011-06-30,0,0.4222753604462644
2670,600436.XSHG,2011-06-30,1,0.45407029283893385
2671,600438.XSHG,2011-06-30,0,0.4217210704016754
2672,600489.XSHG,2011-06-30,1,0.5369698615533567
2673,600519.XSHG,2011-06-30,1,0.5280739128860695
2675,600570.XSHG,2011-06-30,0,0.5259766396419675
2676,600584.XSHG,2011-06-30,0,0.43695935397936236
2677,600585.XSHG,2011-06-30,0,0.4577865469808314
2678,600588.XSHG,2011-06-30,1,0.4348472064596966
2679,600600.XSHG,2011-06-30,1,0.42838702242557447
2680,600606.XSHG,2011-06-30,0,0.4898560565475277
2681,600655.XSHG,2011-06-30,1,0.46512973298605764
2682,600660.XSHG,2011-06-30,0,0.48966981205170257
2683,600690.XSHG,2011-06-30,0,0.3988488211108583
2684,600741.XSHG,2011-06-30,0,0.42823038127803253
2687,600763.XSHG,2011-06-30,1,0.4889035028964799
2688,600795.XSHG,2011-06-30,0,0.3890986597213979
2689,600809.XSHG,2011-06-30,1,0.47047380511324816
2691,600845.XSHG,2011-06-30,0,0.397983942339311
2694,600886.XSHG,2011-06-30,0,0.2938650841171888
