index,stock,tradeDate,return,class,factor
20876,000977.XSHE,29/06/2018,0.05408805,1,0.99999976
20877,002049.XSHE,29/06/2018,0.00929284,0,0.9999981
20879,002129.XSHE,29/06/2018,0.07662835,1,0.70484716
20880,002157.XSHE,29/06/2018,0.02911513,1,0.87681955
20881,002371.XSHE,29/06/2018,0.00443069,0,0.5167186
20882,002414.XSHE,29/06/2018,0.20014881,1,0.9999975
20884,002466.XSHE,29/06/2018,-0.06432749,0,0.9975199
20885,002568.XSHE,29/06/2018,0.02146558,0,0.99994636
20886,002600.XSHE,29/06/2018,-0.23506744,0,1
20887,002709.XSHE,29/06/2018,-0.15768536,0,1
20889,002812.XSHE,29/06/2018,-0.09586811,0,1
20890,002821.XSHE,29/06/2018,-0.08884558,0,1
20891,300014.XSHE,29/06/2018,-0.15170455,0,1
20892,300274.XSHE,29/06/2018,-0.12486065,0,1
20893,300316.XSHE,29/06/2018,0.03912716,1,0.6962152
20894,300450.XSHE,29/06/2018,-0.00925926,0,1
20895,300529.XSHE,29/06/2018,0.03567265,1,0.9995714
20896,300558.XSHE,29/06/2018,-0.11244836,0,0.9995264
20897,300595.XSHE,29/06/2018,-0.15595716,0,1
20898,300601.XSHE,29/06/2018,-0.30056406,0,1
20899,300628.XSHE,29/06/2018,-0.01911698,0,1
20900,300676.XSHE,29/06/2018,-0.24470613,0,1
20901,300677.XSHE,29/06/2018,-0.05045672,0,1
20903,600079.XSHG,29/06/2018,-0.05746894,0,1
20904,600132.XSHG,29/06/2018,0.08631275,1,1
20905,600143.XSHG,29/06/2018,-0.03256705,0,1
20906,600150.XSHG,29/06/2018,0.14138287,1,1
20907,600161.XSHG,29/06/2018,-0.02170543,0,1
20908,600426.XSHG,29/06/2018,0.08811825,1,0.99999464
