,,PCT_CHG
2011-01-31,002157.SZ,-21.80758017492711
2015-07-31,600438.SH,-21.805467260012712
2021-06-30,002044.SZ,-21.80257510729614
2021-07-30,000001.SZ,-21.794871794871796
2016-01-29,002142.SZ,-21.792392005157957
2011-12-30,600547.SH,-21.790633608815423
2018-02-28,002157.SZ,-21.76870748299319
2013-06-28,000100.SZ,-21.72413793103448
2018-06-29,002202.SZ,-21.685254027261458
2021-02-26,600009.SH,-21.67088607594937
2013-03-29,000596.SZ,-21.65815560228298
2013-06-28,600118.SH,-21.657458563535915
2016-01-29,000568.SZ,-21.644542772861364
2013-06-28,000776.SZ,-21.640735502121633
2010-05-31,600233.SH,-21.572648943423157
2018-08-31,000568.SZ,-21.554705989441103
2016-01-29,601607.SH,-21.546961325966862
2020-10-30,000728.SZ,-21.540387113735303
2021-09-30,600745.SH,-21.524926686217004
2010-06-30,600196.SH,-21.52466367713005
2010-11-30,601600.SH,-21.522921522921536
2010-06-30,600085.SH,-21.517671517671523
2011-12-30,600233.SH,-21.509740259740262
2021-11-30,600438.SH,-21.50969771099074
2011-12-30,002129.SZ,-21.509433962264158
2013-06-28,002311.SZ,-21.50684931506849
2016-01-29,600015.SH,-21.499176276771024
2015-07-31,600031.SH,-21.465428276573782
2010-11-30,600837.SH,-21.463022508038588
2016-01-29,601808.SH,-21.4561855670103
2017-03-31,600233.SH,-21.455415100785793
2018-08-31,600809.SH,-21.435525767750807
2012-10-31,600588.SH,-21.43364088005678
2016-01-29,600011.SH,-21.420389461626566
2012-09-28,600705.SH,-21.41078838174273
2018-10-31,600584.SH,-21.38461538461538
2012-07-31,002050.SZ,-21.383075523202898
2015-08-31,000768.SZ,-21.368715083798882
2010-04-30,000069.SZ,-21.335807050092768
2010-11-30,600115.SH,-21.325966850828728
2011-09-30,002049.SZ,-21.297909407665504
2016-01-29,002008.SZ,-21.28234839706451
2015-07-31,600426.SH,-21.282327586206897
2018-06-29,600489.SH,-21.247113163972287
2018-10-31,000938.SZ,-21.22003323047711
2013-06-28,000783.SZ,-21.215139442231077
2016-01-29,600703.SH,-21.21087314662273
2021-01-29,000625.SZ,-21.20658135283364
2016-01-29,600362.SH,-21.156289707750954
2019-08-30,600018.SH,-21.153846153846168
2013-06-28,600999.SH,-21.09256449165402
2012-11-30,002157.SZ,-21.08362779740872
2021-03-31,601899.SH,-21.082854799015582
2018-10-31,601888.SH,-21.08203469567774
2013-06-28,601618.SH,-21.078431372549023
2010-05-31,601788.SH,-21.057884231536917
2021-10-29,600763.SH,-21.044963909674852
2011-01-31,002049.SZ,-21.033210332103337
2018-10-31,002230.SZ,-21.001050052502624
2016-01-29,601006.SH,-20.99767981438516
2011-12-30,000776.SZ,-20.993227990970652
2021-01-29,601238.SH,-20.99322799097064
2021-07-30,000661.SZ,-20.992248062015506
2012-06-29,601727.SH,-20.97053726169844
2015-07-31,600521.SH,-20.96
2017-05-31,600547.SH,-20.957918050941295
2012-11-30,600588.SH,-20.957542908762427
2020-09-30,000661.SZ,-20.949529512403764
2013-06-28,000876.SZ,-20.947030497592312
2016-01-29,002024.SZ,-20.892193308550166
2015-08-31,300003.SZ,-20.881226053639846
2020-03-31,600143.SH,-20.879120879120883
2016-01-29,002241.SZ,-20.867052023121392
2010-11-30,000783.SZ,-20.86092715231789
2013-03-29,002304.SZ,-20.85025380710659
2020-09-30,300498.SZ,-20.82658022690438
2011-09-30,600482.SH,-20.819341840161186
2011-09-30,600383.SH,-20.8130081300813
2015-01-30,000783.SZ,-20.80856123662308
2011-01-31,002230.SZ,-20.784810126582286
2010-05-31,600837.SH,-20.774385703648544
2021-10-29,601600.SH,-20.77419354838711
2013-06-28,000708.SZ,-20.771513353115722
2015-07-31,000625.SZ,-20.756501182033084
2018-12-28,600703.SH,-20.742817098808676
2016-01-29,601899.SH,-20.738636363636363
2021-03-31,600362.SH,-20.71684587813619
2015-01-30,000425.SZ,-20.708082832331343
2011-09-30,600150.SH,-20.705404719614307
2013-06-28,002027.SZ,-20.697674418604638
2016-01-29,600893.SH,-20.697312902509445
2010-06-30,600438.SH,-20.659340659340653
2013-03-29,600150.SH,-20.651277823577917
2016-01-29,300003.SZ,-20.647668393782393
2015-06-30,300014.SZ,-20.63492063492064
2015-08-31,002241.SZ,-20.607082630691398
2010-06-30,600426.SH,-20.55442866801892
2015-08-31,002049.SZ,-20.553081790485116
2019-04-30,002202.SZ,-20.549828178694163
2021-10-29,300003.SZ,-20.536712635109943
2010-04-30,600837.SH,-20.532544378698216
2010-05-31,600340.SH,-20.531757754800584
2021-04-30,000066.SZ,-20.52489905787348
2016-01-29,600547.SH,-20.52380952380951
2015-06-30,600111.SH,-20.473476545374837
2017-07-31,300033.SZ,-20.446873493007544
2015-09-30,000656.SZ,-20.418848167539284
2010-05-31,600109.SH,-20.40151926207271
2012-11-30,002120.SZ,-20.38834951456311
2011-12-30,600176.SH,-20.368098159509195
2016-01-29,600115.SH,-20.36793692509855
2011-08-31,002008.SZ,-20.340356564019434
2021-07-30,002157.SZ,-20.334728033472803
2013-06-28,601166.SH,-20.334412081984897
2015-09-30,000768.SZ,-20.319715808170514
2011-07-29,002007.SZ,-20.27106658809665
2016-01-29,000661.SZ,-20.2656704026567
2018-08-31,600196.SH,-20.233929418152407
2021-04-30,002044.SZ,-20.23346303501945
2013-06-28,600522.SH,-20.22684310018905
2015-06-30,600161.SH,-20.211864406779668
2013-06-28,600161.SH,-20.192307692307697
2011-09-30,600655.SH,-20.188195038494428
2013-06-28,601111.SH,-20.15065913370998
2011-12-30,601919.SH,-20.13651877133107
2021-07-30,002304.SZ,-20.135974967103863
2015-07-31,600837.SH,-20.13211690580754
2011-12-30,600299.SH,-20.12987012987013
2017-07-31,600161.SH,-20.09791290904406
2013-06-28,002142.SZ,-20.09433962264151
2010-11-30,601111.SH,-20.089858793324776
2018-08-31,000538.SZ,-20.088344543720527
2012-11-30,600809.SH,-20.079260237780726
2020-09-30,000860.SZ,-20.053156146179408
2010-12-31,000338.SZ,-20.052440209669133
2015-07-31,600705.SH,-20.04319654427644
2021-10-29,600143.SH,-20.040899795501023
2017-07-31,000656.SZ,-20.030581039755337
2015-07-31,600183.SH,-20.019627085377813
2021-08-31,002007.SZ,-20.005436259853226
2012-08-31,601111.SH,-19.999999999999996
2021-07-30,600276.SH,-19.994115050757678
2013-06-28,002024.SZ,-19.96805111821085
2021-03-31,600760.SH,-19.963008631319347
2013-04-26,600588.SH,-19.947961838681692
2012-07-31,600109.SH,-19.94440583738708
2015-07-31,601899.SH,-19.944046503008572
2015-09-30,600118.SH,-19.91942703670546
2021-07-30,600009.SH,-19.904425514232305
2018-10-31,000568.SZ,-19.890549358029872
2018-08-31,601727.SH,-19.876677357530383
2018-03-30,601600.SH,-19.83050847457627
2011-09-30,600489.SH,-19.827275998560623
2013-12-31,000063.SZ,-19.815950920245395
2015-08-31,002179.SZ,-19.8158610587989
2012-05-31,600606.SH,-19.811320754716988
2013-06-28,000728.SZ,-19.81042626567855
2020-02-28,601872.SH,-19.809825673534075
2010-04-30,000977.SZ,-19.78961209730441
2021-01-29,600383.SH,-19.77777777777777
2021-07-30,601155.SH,-19.775025031471504
2010-06-30,000066.SZ,-19.76744186046512
2021-02-26,600660.SH,-19.7457627118644
2021-07-30,300003.SZ,-19.738480697384787
2013-06-28,601238.SH,-19.738276990185376
2012-11-30,000858.SZ,-19.732142857142865
2020-09-30,600872.SH,-19.73039215686274
2021-02-26,300014.SZ,-19.718309859154925
2016-01-29,601988.SH,-19.700748129675805
2021-07-30,601888.SH,-19.69343552149284
2013-03-29,000568.SZ,-19.685039370078727
2011-09-30,000425.SZ,-19.682259488084743
2016-01-29,002236.SZ,-19.67479674796747
2016-01-29,002001.SZ,-19.667431192660555
2015-06-30,600438.SH,-19.662921348314597
2011-12-30,601989.SH,-19.654088050314456
2010-04-30,600606.SH,-19.64944649446494
2018-04-27,600522.SH,-19.625407166123786
2010-05-31,600183.SH,-19.62423007325039
2015-08-31,600132.SH,-19.614711033274943
2013-06-28,600521.SH,-19.60991038481813
2018-06-29,601919.SH,-19.60784313725491
2015-07-31,600029.SH,-19.60110041265475
2013-06-28,000069.SZ,-19.595645412130636
2012-11-30,600132.SH,-19.59499702203693
2021-09-30,000708.SZ,-19.5447409733124
2021-01-29,600079.SH,-19.53955135773319
2013-06-28,600760.SH,-19.5364238410596
2011-01-31,002241.SZ,-19.535394183281507
2016-12-30,601668.SH,-19.527702089010003
2011-12-30,600848.SH,-19.526627218934912
2010-11-30,600362.SH,-19.524462734339266
2015-08-31,000703.SZ,-19.523809523809533
2018-10-31,600196.SH,-19.492868462757528
2013-06-28,600585.SH,-19.460529686741612
2013-09-30,600519.SH,-19.45728166844414
2021-11-30,600011.SH,-19.455252918287947
2015-07-31,002271.SZ,-19.455252918287936
2012-07-31,600299.SH,-19.449225473321853
2015-07-31,600048.SH,-19.439579684763576
2021-07-30,000656.SZ,-19.404537049328862
2018-12-28,600276.SH,-19.404125286478234
2012-01-31,600132.SH,-19.402460456941995
2021-10-29,001979.SZ,-19.39721792890262
2012-11-30,600406.SH,-19.39120631341599
2015-08-31,601857.SH,-19.386834986474298
2016-01-29,601601.SH,-19.369369369369373
2021-08-31,600143.SH,-19.353233830845774
2018-12-28,600521.SH,-19.328956965718458
2011-01-31,000703.SZ,-19.31718061674008
2016-12-30,600872.SH,-19.312320916905435
